prb_id, percentie, MON, TUE, WED, THU, FRI, SAT, SUN, ALL
24086, p75, 0.2199246745086835, 0.06327742804557956, 0.048254460088235654, 0.05586128406421618, 0.19334654671629672, 0.20193111795432428, 0.09216424663352059, 0.04688208451312199
24086, p90, 0.046144572670537294, 0.09975174549818797, 0.046550208042548176, 0.04756352532780423, 0.038964886251594145, 0.05180913671292312, 0.041383817437549805, 0.0776825957566814
24086, p95, 0.04254413078931121, 0.08285817113634084, 0.04953735506221303, 0.04559368541595356, 0.05128507222681627, 0.034001856795212324, 0.04797027215506157, 0.07685780831506901
3726, p50, 0.10292016989112564, 0.04719665001713907, 0.06699858689277538, 0.07448318622327538, 0.09793997177835297, 0.04770733124159453, 0.10202702038912667, 0.04525820218691734
3726, p75, 0.07724310382394566, 0.04524702570978347, 0.06352216908043073, 0.06883776036465825, 0.053008261577273896, 0.08030426081994778, 0.08618235123918055, 0.05521014394386977
3726, p90, 0.06187191303491275, 0.07891189976376728, 0.025616174951129334, 0.049122431732544186, 0.04525209516651109, 0.09134639471532306, 0.05917841763922528, 0.047655959318449716
3726, p95, 0.10396491199660887, 0.06544904697784172, 0.059343314414579275, 0.06429897864165895, 0.05664119527844929, 0.04077594142281776, 0.04705994433362401, 0.08185153280133957
34960, p50, 0.6428171474190202, 0.4978516938440452, 0.49119666279349394, 0.5411539179372067, 0.7201908847483056, 0.9550743802565258, 0.5377731439559056, 0.0805221251277877
34960, p75, 0.588114983969445, 0.6610976582570994, 0.24852160250246796, 0.5621906502810086, 0.5586705996131518, 0.9423479762470599, 0.5603704417508083, 0.07132505007991712
34960, p90, 0.35998110727537724, 0.6617503710737611, 0.19751987651086667, 0.3877544009352097, 0.3026589535419183, 0.9242704282242311, 0.5772079050044503, 0.06939481809670998
34960, p95, 0.29885622738165796, 0.6639501898377371, 0.2992857687921299, 0.3113876491248798, 0.3140436197255868, 0.9170026094535391, 0.5930846216212603, 0.06869355339590358
50584, p50, 0.05745629117116581, 0.05443316039524963, 0.039846142941475184, 0.07530417178943043, 0.08805492327978903, 0.04453842130161463, 0.0836788338924558, 0.0636548609803526
50584, p75, 0.05344561672741275, 0.07373747552321844, 0.06683605762332641, 0.048904955874618475, 0.06869264760409159, 0.020373659376848634, 0.046213309704289385, 0.052931462228514574
50584, p90, 0.06626143217069799, 0.021200343281819866, 0.061367627981634254, 0.05893941500729236, 0.03183185524531347, 0.04476601975940227, 0.05146474391797428, 0.04557813413444509
50584, p95, 0.030460942948229805, 0.03397057816600579, 0.05336180992021728, 0.047154609850020276, 0.028396383118002792, 0.06688484862364885, 0.06168190509264459, 0.02820413034644471
